Gene1,Gene2
A1BG,JADE2
A1BG,PRDM1
A1BG,GAPDH
A1BG,ACTR8
A1BG,WDR18
A1BG,CD70
A1BG,CCT7
A1BG,SRP14
A1BG,UNC45A
A1BG,FOXG1
A2M,UNC5D
A2M,MT-CYB
AAAS,MAST2
AAAS,VPS41
AAAS,YAF2
AAAS,PPP1R12A
AAAS,KIF22
AAAS,MOK
AAAS,ZNF416
AAAS,EZR
AAAS,ACO2
AAAS,MGRN1
AAAS,GGA2
AAAS,ARHGEF10
AAAS,GAPDH
AAAS,FGFR1OP2
AAAS,PRDX6
AAAS,TMPO
AAAS,HNRNPA2B1
AAAS,SSR1
AAAS,LAMA5
AAAS,YAP1
AAAS,RPL11
AAAS,RPS3A
AAAS,CCT6A
AAAS,GTF3C5
AAAS,RPL27A
AAAS,STAT3
AAAS,FBXL14
AAAS,MUC16
AAAS,PTMA
AAAS,HSPA14
AAAS,DPYD
AAAS,NCOR2
AAAS,TOMM7
AAAS,MT-ND5
AAAS,HNRNPH3
AAAS,DGKH
AAAS,VEGFA
AAAS,PDE4D
AAAS,PPP2CA
AAAS,B4GALT2
AAAS,RPL27
AAAS,KRT7
AAAS,KIAA0513
AAAS,FDX1
AAAS,LRIG1
AAAS,PPIP5K2
AAAS,MEPCE
AAAS,DGKZ
AAAS,NUDT21
AAAS,KMT2D
AAAS,TAP1
AAAS,PRELID1
AAAS,RNF139
AAAS,CHD7
AAAS,MARCKSL1
AAAS,H1-0
AAAS,H2BC12
AAAS,HLA-E
AAAS,MIF
AACS,CREBBP
AACS,KMT2E
AACS,EHD2
AACS,NR1H3
AACS,TRIO
AACS,RPL18
AACS,RAD18
AACS,ACADVL
AACS,FBXW11
AACS,SCARB1
AACS,SEMA3C
AACS,SART3
AACS,MAGI3
AACS,IL32
AACS,BAZ1B
AACS,NDUFS1
AACS,KPNA6
AACS,ARHGAP31
AACS,TRIT1
AACS,U2AF2
AACS,ANKRD44
AACS,SPEN
AACS,EVI5
AACS,SMARCA2
AACS,SSH1
AACS,NOP14
AACS,HECTD1
AACS,NUP188
AACS,ABL1
AACS,TTLL12
AACS,LIPG
AACS,MAGT1
AACS,TRPS1
AACS,MAN2B1
AACS,STX1A
AACS,FUBP3
AACS,RPL19
AACS,PIGL
AACS,HSPA8
AACS,PDE4D
AACS,BRIX1
AACS,SET
AACS,LRRFIP1
AACS,FGFRL1
AACS,UBE4B
AACS,EXOC4
AACS,VAV3
AACS,AHI1
AACS,REV1
AACS,SSH2
AACS,AFG3L2
AACS,TBCD
AACS,RPS27A
AACS,LPP
AACS,SPATA5
AACS,MARCHF6
AACS,PCYOX1L
AACS,CCT6A
AACS,TACC1
AACS,MRRF
AACS,SLC25A25
AACS,SLC7A11
AACS,THY1
AACS,CSTB
AACS,SAP30BP
AACS,LMOD1
AACS,PCOLCE2
AACS,WDR43
AACS,SNAPC3
AACS,MELK
AACS,CPSF2
AACS,FRS2
AACS,KMT2D
AACS,POLR2J3
AACS,SIN3A
AACS,PCBP1
AACS,ASPSCR1
AACS,CHST11
AACS,PDE7B
AACS,PRPF8
AACS,PELI3
AACS,RPL15
AACS,CSTF3
AACS,PAWR
AACS,TBL1XR1
AACS,BET1L
AACS,ZNF875
AACS,C1S
AACS,CMSS1
AACS,FOXO4
AACS,PBX1
AACS,COL25A1
AACS,RELN
AACS,TUBB
AACS,MT-CO1
AACS,EIF6
AACS,GABRQ
AACS,UIMC1
AACS,PABPC4
AACS,USP48
AACS,AGO1
AACS,EIF3D
AACS,ALKBH1
AACS,GSDME
AACS,GLI3
AACS,NPM3
AACS,TUBD1
AACS,RAB35
AACS,PDE10A
AACS,TMEM30A
AACS,AAK1
AACS,PRDX1
AACS,ZNF430
AACS,CPSF3
AACS,HELLS
AACS,RBM19
AACS,STIL
AACS,NCLN
AACS,CANX
AACS,PLA2G5
AACS,AAMP
AACS,PAICS
AACS,LDLR
AACS,CHSY1
AACS,NUP210
AACS,PRKAA1
AACS,PIK3C2B
AACS,PUM1
AACS,TAOK3
AACS,CALCOCO2
AACS,UQCC2
AACS,AEBP2
AACS,PHLDA1
AACS,SLC15A4
AACS,TICRR
AACS,ZNF710
AACS,EXOC6B
AACS,DIS3L2
AACS,EAF1
AACS,DOCK5
AACS,ZNF689
AACS,CHCHD6
AACS,TM2D1
AACS,REL
AACS,ITGA2
AACS,CITED2
AACS,EEF2
AACS,DDB1
AACS,CEP120
AACS,AVEN
AACS,NEGR1
AACS,MARCKSL1
AACS,BANF1
AACS,SMAD2
AACS,POLE
AACS,HNRNPA0
AACS,ERBB4
AACS,FUCA1
AACS,CALR
AACS,EXOC3
AACS,TPCN1
AACS,FANCA
AACS,NHS
AACS,NCOR2
