Gene1,stId,name,Gene2,connected_driver_gene,gene_type,MethylationRatio
A2M,A2M,A2M,APOA1,,0,0.0415057235708239
A2M,A2M,A2M,BMP1,,0,0.0415057235708239
A2M,A2M,A2M,PROC,,0,0.0415057235708239
AAAS,AAAS,AAAS,AGO2,,3,0.1085760115916589
AAAS,AAAS,AAAS,ALYREF,,3,0.1085760115916589
AAAS,AAAS,AAAS,AURKB,AURKB,2,0.1085760115916589
AAAS,AAAS,AAAS,BIRC5,,3,0.1085760115916589
AAAS,AAAS,AAAS,CASC3,,3,0.1085760115916589
AAAS,AAAS,AAAS,CDC40,,3,0.1085760115916589
AAAS,AAAS,AAAS,CDCA8,,3,0.1085760115916589
AAAS,AAAS,AAAS,CHTOP,,3,0.1085760115916589
AAAS,AAAS,AAAS,CPSF1,,3,0.1085760115916589
AAAS,AAAS,AAAS,CPSF2,,3,0.1085760115916589
AAAS,AAAS,AAAS,CPSF3,,3,0.1085760115916589
AAAS,AAAS,AAAS,CPSF4,,3,0.1085760115916589
AAAS,AAAS,AAAS,DDX20,,3,0.1085760115916589
AAAS,AAAS,AAAS,DHX38,,3,0.1085760115916589
AAAS,AAAS,AAAS,EIF4A3,,3,0.1085760115916589
AAAS,AAAS,AAAS,EIF4E,,3,0.1085760115916589
AAAS,AAAS,AAAS,FIP1L1,FIP1L1,2,0.1085760115916589
AAAS,AAAS,AAAS,GCK,,3,0.1085760115916589
AAAS,AAAS,AAAS,GCKR,,3,0.1085760115916589
AAAS,AAAS,AAAS,GEMIN2,,3,0.1085760115916589
AAAS,AAAS,AAAS,GEMIN4,,3,0.1085760115916589
AAAS,AAAS,AAAS,GEMIN5,,3,0.1085760115916589
AAAS,AAAS,AAAS,GEMIN6,,3,0.1085760115916589
AAAS,AAAS,AAAS,GEMIN7,,3,0.1085760115916589
AAAS,AAAS,AAAS,GEMIN8,,3,0.1085760115916589
AAAS,AAAS,AAAS,HDAC4,,3,0.1085760115916589
AAAS,AAAS,AAAS,HIKESHI,,3,0.1085760115916589
AAAS,AAAS,AAAS,HNRNPC,,3,0.1085760115916589
AAAS,AAAS,AAAS,HSPA1B,,3,0.1085760115916589
AAAS,AAAS,AAAS,INCENP,,3,0.1085760115916589
AAAS,AAAS,AAAS,IPO8,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNA1,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNA2,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNA3,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNA4,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNA5,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNA7,,3,0.1085760115916589
AAAS,AAAS,AAAS,KPNB1,,3,0.1085760115916589
AAAS,AAAS,AAAS,MAGOH,,3,0.1085760115916589
AAAS,AAAS,AAAS,MAGOHB,,3,0.1085760115916589
AAAS,AAAS,AAAS,MDM2,MDM2,2,0.1085760115916589
AAAS,AAAS,AAAS,NCBP1,,3,0.1085760115916589
AAAS,AAAS,AAAS,NCBP2,,3,0.1085760115916589
AAAS,AAAS,AAAS,NXF1,,3,0.1085760115916589
AAAS,AAAS,AAAS,NXF2,,3,0.1085760115916589
AAAS,AAAS,AAAS,NXT1,,3,0.1085760115916589
AAAS,AAAS,AAAS,PHAX,,3,0.1085760115916589
AAAS,AAAS,AAAS,PML,PML,2,0.1085760115916589
AAAS,AAAS,AAAS,POLDIP3,,3,0.1085760115916589
AAAS,AAAS,AAAS,RAN,,3,0.1085760115916589
AAAS,AAAS,AAAS,RANBP2,RANBP2,2,0.1085760115916589
AAAS,AAAS,AAAS,RBM8A,,3,0.1085760115916589
AAAS,AAAS,AAAS,RNPS1,,3,0.1085760115916589
AAAS,AAAS,AAAS,SARNP,,3,0.1085760115916589
AAAS,AAAS,AAAS,SLBP,,3,0.1085760115916589
AAAS,AAAS,AAAS,SLU7,,3,0.1085760115916589
AAAS,AAAS,AAAS,SMN1,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPB,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPD1,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPD2,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPD3,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPE,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPF,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNRPG,,3,0.1085760115916589
AAAS,AAAS,AAAS,SNUPN,,3,0.1085760115916589
AAAS,AAAS,AAAS,SP100,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRRM1,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF1,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF11,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF2,SRSF2,2,0.1085760115916589
AAAS,AAAS,AAAS,SRSF3,SRSF3,2,0.1085760115916589
AAAS,AAAS,AAAS,SRSF4,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF5,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF6,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF7,,3,0.1085760115916589
AAAS,AAAS,AAAS,SRSF9,,3,0.1085760115916589
AAAS,AAAS,AAAS,SUMO1,,3,0.1085760115916589
AAAS,AAAS,AAAS,SUMO2,,3,0.1085760115916589
AAAS,AAAS,AAAS,SUMO3,,3,0.1085760115916589
AAAS,AAAS,AAAS,SYMPK,,3,0.1085760115916589
AAAS,AAAS,AAAS,THOC1,,3,0.1085760115916589
AAAS,AAAS,AAAS,THOC2,,3,0.1085760115916589
AAAS,AAAS,AAAS,THOC3,,3,0.1085760115916589
