Gene1,Gene2
TBP,TP53
TBP,TTF1
TBP,ELL2
TBP,ICE2
TBP,ELL3
TBP,TFDP1
TBP,INTS5
TBP,INTS9
TBP,INTS3
TBP,INTS6
TBP,INTS12
TBP,ICE1
TBP,INTS7
TBP,ZC3H8
TBP,INTS4
TBP,INTS2
TBP,INTS8
TBP,INTS10
TBP,NABP2
TBP,NABP1
TBP,INTS1
RPS20,RPS21
RPS20,RPS27
RPS20,UBA52
RPS20,RPS8
RPS20,RPS26
RPS20,RPS9
RPS20,RPS6
RPS20,RPS7
RPS20,RPS25
RPS20,RPS23
RPS20,RPS5
RPS20,RPS4X
RPS20,RPSA
RPS20,RPS27A
RPS20,RPS24
RPS20,RPS29
RPS20,RPS3A
RPS20,RPS3
RPS20,RPS28
RPS20,EIF2S1
RPS20,EIF2S3
RPS20,EIF2S2
RPS20,SEC11A
RPS20,SPCS1
RPS20,SEC11C
RPS20,SPCS2
RPS20,SPCS3
SUPT5H,TAF6
SUPT5H,ELL2
SUPT5H,INTS9
SUPT5H,INTS1
SUPT5H,INTS3
SUPT5H,ZNF143
SUPT5H,INTS12
SUPT5H,NABP2
SUPT5H,ELL3
SUPT5H,TAF5
SUPT5H,ZC3H8
SUPT5H,NABP1
SUPT5H,INTS5
SUPT5H,ICE1
SUPT5H,INTS6
SUPT5H,INTS4
SUPT5H,INTS8
SUPT5H,INTS10
SUPT5H,ICE2
SUPT5H,INTS7
SUPT5H,TAF8
SUPT5H,TAF11
SUPT5H,INTS2
GNB4,GNG5
GNB4,GNG12
GNB4,GNG7
GNB4,GNG2
GNB4,GNGT2
GNB4,GNGT1
GNB4,GNG4
GNB4,GNG8
GNB4,GNG3
GNB4,PLCB2
GNB4,OPRM1
GNB4,MAPK14
GNB4,PRKCE
GNB4,MTNR1B
GNB4,MTNR1A
GNB4,RHOA
GNB4,PTGER3
GNB4,HTR1B
GNB4,HTR1E
GNB4,PTGER1
GNB4,HTR1F
GNB4,HTR1D
GNB4,PTGER2
GNB4,HTR1A
GNB4,HTR7
GNB4,HTR5A
GNB4,PTGER4
GNB4,PRKCA
GNB4,GRM7
GNB4,PIK3CA
GNB4,PIK3CG
GNB4,PRKCB
GNB4,PRKCG
GNB4,PIK3R2
GNB4,GRM8
GNB4,PLCB1
GNB4,PLCB4
GNB4,PLCB3
GNB4,GRM2
GNB4,GRM3
GNB4,GRM4
GNB4,WNT11
GNB4,PIK3R1
GNB4,PIK3R5
GNB4,WNT5A
GNB4,PIK3R6
GNB4,PIK3R3
MTA3,SNAI1
MTA3,TP53
MTA3,SNAI3
MTA3,UBTF
MTA3,TAF1B
MTA3,PPARG
MTA3,TAF1A
