Gene1,stId,name,Gene2,connected_driver_gene,gene_type,expression_matrix
AAAS,AAAS,AAAS,HSPA1B,,3,0.1602164513425362
AAAS,AAAS,AAAS,IPO8,,3,0.1602164513425362
AAAS,AAAS,AAAS,SP100,,3,0.1602164513425362
AAAS,AAAS,AAAS,SRSF4,,3,0.1602164513425362
AAAS,AAAS,AAAS,ZC3H11A,,3,0.1602164513425362
AAAS,AAAS,AAAS,NEK6,,3,0.1602164513425362
ABCE1,ABCE1,ABCE1,RNASEL,,3,0.1352232662271177
ABI1,ABI1,ABI1,DIAPH1,,1,-0.22026763396646
ABI1,ABI1,ABI1,DIAPH3,,1,-0.22026763396646
ABI1,ABI1,ABI1,RAC1,,1,-0.22026763396646
ABI1,ABI1,ABI1,ABL1,,1,-0.22026763396646
ABI1,ABI1,ABI1,MAPK3,,1,-0.22026763396646
ABI2,ABI2,ABI2,ARPC1B,,3,-0.370876022614592
ABI2,ABI2,ABI2,WASF1,,3,-0.370876022614592
ABI2,ABI2,ABI2,RAC1,RAC1,2,-0.370876022614592
ABL1,ABL1,ABL1,CDH2,,1,-1.7521458446018283
ABL1,ABL1,ABL1,CRKL,,1,-1.7521458446018283
ABL1,ABL1,ABL1,EPS8,,1,-1.7521458446018283
ABL1,ABL1,ABL1,RAC1,,1,-1.7521458446018283
ABL1,ABL1,ABL1,TP63,,1,-1.7521458446018283
ABL1,ABL1,ABL1,WWTR1,,1,-1.7521458446018283
ABL1,ABL1,ABL1,BLK,,1,-1.7521458446018283
ABL1,ABL1,ABL1,FGR,,1,-1.7521458446018283
ABL1,ABL1,ABL1,HCK,,1,-1.7521458446018283
ABL1,ABL1,ABL1,LRP8,,1,-1.7521458446018283
ABL1,ABL1,ABL1,LYN,,1,-1.7521458446018283
ABL1,ABL1,ABL1,RELN,,1,-1.7521458446018283
ABL1,ABL1,ABL1,RIN1,,1,-1.7521458446018283
ACACB,ACACB,ACACB,CPT1A,,3,-3.667354118239667
ACACB,ACACB,ACACB,CPT1B,,3,-3.667354118239667
ACACB,ACACB,ACACB,CPT1C,,3,-3.667354118239667
ACAP1,ACAP1,ACAP1,GULP1,,3,0.0955539269272925
ACAP1,ACAP1,ACAP1,PLD1,,3,0.0955539269272925
ACAP1,ACAP1,ACAP1,PLD2,,3,0.0955539269272925
ACTA2,ACTA2,ACTA2,MYL6B,,3,-3.5253110644001593
ACTA2,ACTA2,ACTA2,MYL10,,3,-3.5253110644001593
ACTA2,ACTA2,ACTA2,MYL5,,3,-3.5253110644001593
ACTA2,ACTA2,ACTA2,MYL7,,3,-3.5253110644001593
ACTA2,ACTA2,ACTA2,MYLPF,,3,-3.5253110644001593
ACTB,ACTB,ACTB,COPS3,,3,-0.6800053588117296
ACTB,ACTB,ACTB,COPS4,,3,-0.6800053588117296
ACTB,ACTB,ACTB,RAD23B,,3,-0.6800053588117296
ACTB,ACTB,ACTB,ACTN1,,3,-0.6800053588117296
ACTB,ACTB,ACTB,ACTN4,,3,-0.6800053588117296
ACTB,ACTB,ACTB,ARPC1B,,3,-0.6800053588117296
ACTB,ACTB,ACTB,CASP3,CASP3,2,-0.6800053588117296
